ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,2.455173183693722e-131,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,4.0730324306309627e+130,,3.395109872256401e-125,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,1.93151224821952e-74,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.9454127778651146e+124,,5.177290493093203e+73,7.551929687775877e+32,,,8.912748709728773e-26,,,,,,,,,9.98864994236973e-12,,,
"$\hat{S}_{x,y,z}$",,,,1.3241648708921053e-33,,,,,6.79990027971036e-45,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,7.677515695600482e-05,2.0503871534513417e-27,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,13025.04663810768,,2.911406337266811e-17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.1219883254516568e+25,,1.4706098014169626e+44,4.8771277088657946e+26,3.4347661719345796e+16,,747481.9341042563,,,,,,,,81482.92990693552,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,0.0038687153930099076,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.3378249752595669e-06,,258.4837338530576,2349719.7849911745,,,,,,,,,
