ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{z}$",,,,,,,,1.0298316594121192e+62,0.005003186523527866,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,3.379387954894213e+19,,5.880366620423952e+28,199.8726202386067,4.665295706414605e+51,,,,1.4688376147671275e-30,8.108111478520706e-15,,,,30.79073332778966,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,9.710324894952748e-63,,2.1434868504155864e-52,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6388123551495212e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6101979868.883538,3.8672790989232234e-28,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.142359960229145e+63,,,,,6.808104517111933e+29,2.585797338181339e+27,,,4.863380561965901e-05,,,,2.988195251530226e+18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.1485383654062808,1.5629281965138554e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.3040641019189538e-07,,6398246587.594501,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,3.03328501054184e+49,,,,,123333282065634.12,,,20561.82910752464,,4340157.025870695,6.7322674331632015,,42244.6907868373,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,3589558519023164.0,,,,,0.03247730378339079,,,3.3465015362965643e-19,2.367161367202106e-05,,,3021802.873399442,,39346671313.641266,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,3.309282709348372e-07,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.5415110519229768e-11,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.8156341007493582e-56,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,5.507717659561885e+55,,,,3.900181640024794e-10,,,1.9035191964687631e-69,,,7.423377207624715e-63,,,2.708335177754549e-28,,,
"$S_{x,y,z}$",,,,,,,,,4.0406927376662965e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,8.597527181726815e-35,,1.7796995283982038e-35,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,2563983148.2147145,,2.4748231675184252e+27,4.790491573234381,5.618926026799801e+34,,,,3.2903142240621728e-40,,,2.2956090629030677e-34,,,1.2948636727317327e-14,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.163125139197466e+34,0.2087468446009254,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,24013218462.447792,5.461161682148486e-45,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.164373057963114e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,5.253427450876826e+68,,,,,3.039223405129419e+39,1.8311122398533127e+44,,,,,0.03514453873043151,,,93821290247.0147,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,7.310759266348539e+16,3.7698702578720703e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.3470957652170468e+62,,,,,4.356142411876448e+33,,,28.45392303112245,2.6526111818088324e+24,3.210008185392996e+54,,676.0373911725528,,3.7368772355122536e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.3678469821910354e-17,,3.1152568537066565e-55,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,3.0494437555836335e-22,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,0.0014792081222986056,,,1.0250789244590185e-14,,3.2792865851976e+21,
