ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.4344127407224359e+25,,,48074652728.95608,3.19882658362943e-47,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.0800982289731345e-11,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,,,3.126146334776883e+46,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,3.955902555475872e+19,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,2.527868131169641e-20,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,6.407915431251862e-40,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.560569908777086e+39,,,9.016488104803138e-12,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,110907926498.26643,,,,2.6318454511558026e-147,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.087979238691607e+28,4.3503824911025503e-35,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,9.191351860744972e-29,,2.547471496928945e-46,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,3.7996152074995113e+146,2.2986484568775522e+34,3.925460996150617e+45,,,33195895.069968525,,0.050135469997719714,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.0124206559041525e-08,,,4.0167608193385535e+23,3.5792666105137227e-87,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.4895681992951514e-24,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,19.94595842116335,,2.793868434004341e+86,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,65022178834026.86,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1.5379367747004634e-14,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,6.83701692022999e-70,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.4626261886834135e+69,,,7.392808004061085e-49,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.3526659957226953e+48,,,1.3232065540041342e-103,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,4.6109524847095866e-39,1.0546430158411385e-53,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,7.557399084624513e+102,2.168749305736954e+38,,1.829231563342355e+24,2.0440312631909912e+29,,,1.3370147805003639e-52,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,9.48188140422513e+52,5.466776432464402e-25,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,4.892293077938904e-30,,,,3209410.033878438,6.76545512176454e-66,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.1158374574891627e-07,,,,,,,,,,
