ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,2.7405159506268533e+32,,7.490595646938892e+40,4.493210898655043e+44,,,,46030575186405.234,,2.377055364159301e+43,2.489804738588029e+39,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.3350073173535406e-41,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.2255799306000325e-45,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,145941584569.71005,461.0186503463851,,4.443738914282574e-18,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,136655249.33736467,,0.002169109642849921,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.3176845005878385e-09,6.852056615312018e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,6.964948569709898e-10,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,0.00026708377071172024,2.1724690511695847e-14,,,,,2.250357231352883e+17,,,2.998861917350709e+21,1685929381849885.5,1435760781.276884,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,6.361249434631836e-26,4.206885607620976e-44,,,,,,3.3345983495079767e-22,,,63.597606946869,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.8130786947915723e-43,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.554824121527437e+42,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,8.901982481682922e+95,,,,2.9650526955913552e-145,6.246545621823467e-110,,,,,1.0400467454866339e-100,,,1.0403530316593593e-90,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.1233452796134347e-96,,
"$S_{x,y,z}$",,,,,,,,,5.797832100845435e-152,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.624702561675135e+135,,5.374559938833731e-64,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.7247826128910852e+151,1e+160,1.8606174484622047e+63,,1963107.3249701061,,,,,103149249.18603297,,,209009924533.40204,3.3726213415595244e+144,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.3115265702644032e-136,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.7861766549036526e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,5.093964997635715e-07,,5598550385566.094,3.025094859119789e+20,,,1.3207906508064715e+28,,,3.2176731971572284e+23,1.6008848098480453e+109,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.305681463129291e-21,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,9.694690052435264e-09,7.57122258087913e-29,,,5.318677649116816e+68,1492154641.0750127,,,,5227542814.533196,9.614952446508583e+99,167543772181367.25,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.558589279235086e-52,1.88016658645604e-69,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.799017609981807e+51,,6.701718256758943e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,5.968589503389558e-15,129704602.87487656,,,,,
