ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.3460091433419337e-24,7.357232966308605e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.1583173302589233e-34,,1.3592066536146903e+20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.9269261611964227e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.7091800977953115e-07,,,51896.12451880891,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,0.00122060518386628,,513300.9244744236,1.20246052481504e-18,1.0641799904226954e+20,,,,,,4.522785590318125e+136,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,2.3152237814603666e+105,,,8.336631153615783e-108,,4.167876936133387e-116,,,,,6.572842803130918e-107,,,1.078183028995492e-105,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,4.319236904906156e-106,,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,0.12663616757938642,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1e+160,1e+160,,7.896638212563675,982176366.4775802,,,,,1.556843645137942e+20,,,5175917.444468039,1.199525301735675e+107,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,5.823773452559692e-32,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,1.0181470804335697e-09,,,,0.05422335352368159,,,1.475139756904129,,,0.0021148106554210997,2.399303087215712e+115,,1.717099760397574e+31
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,18.44223816889633,,,,,2.665120704795243e-17,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,6.423252605507449e-21,,0.6779018701920805,,3.752175269963348e+16,4.862183690188462e+19,245549473.95652178,,,,0.08369511061302755,1.52141170868054e+106,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2590184519506795e-13,,4.072499052378605e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7942695346923.905,2.0566890593169658e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,6.05235806825183e-09,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,165224857.60477176,,4.56430070134066e-27,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,1.9320246327900545e-07,,472.8555709876924,,,,,11.948129259588375,,,,9.274863108647402e+104,2.190916123703841e+26,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,140609124133781.64,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.111914010989475e-15,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.2325693902295023e-31,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,8.113133491119731e+30,,,,,1e-160,,,1e-160,,,,,,1e-160,,1e-160,
"$S_{x,y,z}$",,,,,,,,,1.9672394559279197e-143,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.1767067185481453e+84,,3.9558826249650265e-71,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,5.083265267919882e+142,2.08952834756143e+147,2.5278808670639992e+70,,,,179229623.58500826,,,,,,32557295030.13562,,1367806131766252.2,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.498294300841835e-85,4.7857690046035664e-148,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,0.045527463261299514,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,21.96476430634006,1.3319437433504455e-08,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,5.579434805461732e-09,75078245.98391403,,,,,,,,591.5203933438302,,2.586233129446607e-25,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1266457379737.104,2.8229997691119395e-31,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.896041477586745e-13,,3.7712277879605424e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.5423311434225887e+30,2651656320502438.0,,,,,,6.682053026096388e-20,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,4.237159175323791e-16,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,1e+160,,,,7.31097760695587e-16,,,3.866627445971882e+24,,,1.496546040707183e+19,2360071827897716.5,,7.467768026224571e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,,3.071508241315447e-11,,,0.0016905587892702373,,,,,,,,13390.88194073917,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.3227047544746667e+86,,4.1220478024268896e-135,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.305325496378781e-87,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2.425978658984114e+134,,3.105736854426415e+95,,,,1e-160,,1e-160,,,,,1e-160,,,,,1.2636448183543299e-147,
"$S_{x,y}$",,,,,3.219847807050239e-96,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,3.252806053294247e-95,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.43279521627114e+79,1.1318918368753065e-31,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.0970905989150186e-107,2.9130779350311667e-80,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1e+160,3.0742687501680586e+94,9.115017492529445e+106,,8.834766427511252e+30,6.486224863498407e-06,,,,,8.925698758047296e-12,,,,,624515797.0380305,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.632868276548099e-14,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1e+160,,,154172.88500550698,,,,2937.085407399467,,,15870592.18047404,,,,,1410255964563.5615,37981391203933.68
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,0.0003404735856440119,,,,,2.7488601255720427e-21,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.421358844329561e-05,,2.4258478707007318e-29,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,22617.481077848057,6.246934290799208e-40,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1e+160,,,112036046376.58344,,6.300962110477033e-08,,3.6378715333574794e+20,1.6007852067098724e+39,4.122270040417412e+28,,,,,,0.011872798509908834,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,7.913616116452091e+146,,,1.6012405206446748e-09,,7.090911331897644e-13,,,,,84.22614088543801,644627476906.278,,38185184.53675778,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.5512835487547633e-12,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,2.6188167273026558e-08,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,7.551878120373962e-06,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,132417.3912847101,,,1e-160,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,,7.927546297618168e-14,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,,,,,3.574837811843282e-126,6.82867870042329e-131,,4.090058906446654e-102,,,,,3.350135771135116e-133,2.6089858927149102e-101,12614243581276.215,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.2177928108124021e-154,1.2561063169541319e-155,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.7973297045450386e+125,1e+160,7.961109553408258e+154,7429098316.120891,,3.2447566005652594e-05,,5.945940184451891e+17,,,,,0.022006360702551846,0.005221624563882796,,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.211577463106303e+153,,1.3460583740425592e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,2.0189708235442583e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.4644121416021708e+130,,,,30818.95263964616,,495301.85792607063,2.9807409801008543e-12,,,,,2.8281419408249995e-10,0.00012891486056524961,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,2.4449525614993556e+101,,,,1.6818198114654966e-18,335487050594.43463,,,1645210.8495665288,,,,3.268951821609284e-14,4.2828465159554316e-12,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,6.078248269900934e-07,,5.900685567874555,9258079542.437937,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0801376197040853e-10,3.223093367358474e-23,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.16947183314500913,,3.102609468678105e+22,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,7.308743244444879e-22,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,2.98495365058346e+132,,,,45.44140730566325,3535890421.780914,,30590845462742.44,,,,1.3682242850165317e+21,,8413460627622.937,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,3.832906888428592e+100,,,,191.51127925145212,7757.057608528033,,233489572011.17834,,,,,1.1885715572457977e-13,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.334486605078639e+46,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.998962414414667e-47,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,4.76111035727143e-45,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,2.1003503908972516e+44,,,,,1e-160,,6.86298681588772e-147,,,,2.2030405938111673e-154,,,1.4563773238795801e-154,,,
"$S_{x,y,z}$",,,,,,,,,5.936131602658738e-134,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.409721909020648e+19,,8.977867623341776e-70,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.848523855417617e-20,4.317459695018198e-58,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1.6845987706069543e+133,2.3161768045081542e+57,1.1138502392261562e+69,,,6.531178114924557e+22,,,,0.0021583517402940402,,,5.411407026541963e-15,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.457091535838323e+146,,,,1.531117330447435e-23,296548703276.5591,,40195944.929913856,,,2.109829914565706e-22,,,2.0166995288387496e-05,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.3721273738547004e-12,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.4878131407126073e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,4.539180997432472e+153,,,,463.31651200826343,,4.739718557862249e+21,,11309872.147359043,2.4327432621453434e+25,,,,29.36321133132476,,3.027669996434489e+22,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2485643.7274041288,,4.110585837644611e-26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4.023102703637845e-07,8.84183293118401e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,2.3251668821823835e-14,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,3.302869867514101e-23,43007665714789.805,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,6.866352445917955e+153,,,,184794822325355.06,,49585.96884166563,,,,0.03405622051063594,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.0997913642601878e-14,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,90926336803224.86,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,6.978299164024275e+147,,,2.0142124579263912e-63,,,,,,,,,,2.1324598034605037e-64,,8.141539095084895e-53,6.597098218891137e-72
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.4330139429323576e-148,,
"$S_{x,y,z}$",,,,,,,,4.7744013170648435e-158,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,2.0945034436585016e+157,1.2273702973385547e+134,,1193.7685159980597,,,,,,,,,107899721956.94667,4.964719566025764e+62,290483824212014.5,4347.193212695448
"$S_{x,y,z}HF_{y}$",,,,,,,5.712264685429023e+153,0.0008376833419533954,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.147500409358225e-135,1.750619159071573e-154,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,0.0002300334839223667,,66121181578.59805,,3590091676254813.5,,,,,,3168318.946694668,1.5158179654449399e+71,0.15742161668465865,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.5123746674298354e-11
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,2.7854441896681613e-16
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.440498028781951e-21,,1.3308348752992162e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.472407932597657e-07,751408021.0553293,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.251999648504077e+20,2879845.9726242903,,,,,5.843607439387902e-14,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,3.4425324808108187e-15,,,,,17112716936795.922,,,,6.1979059355824696e+16,3121240583540545.5,1.2282689898322874e+52,,6.352367743771583
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,1.6134481716783613e-17,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,9.267864475118967e-12,,,,,,,,,,,4.689420163405774e+63,3.203854279203498e-16,3.1562478930451266e-07
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1508.9608762648586,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.0006627077055008258,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,1.9844889385087968e+23,,,,,1e-160,,9.399260058568216e-158,,,,6.452450666772614e-155,8.739859472460902e-159,,,,,
"$S_{x,y}$",,,,,5.039080745652477e-24,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.5286828152633875e+60,,7.193449333760298e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1e+160,1e+160,1390153.6712113894,,,862723508928560.5,,,,3560628079626.26,5.256080852547646e-11,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.9546280536408044e-61,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.0639135355005057e+157,,,,1.1591199146084785e-15,8.364415287299245e+35,,0.004339801923760441,,,1596048349900130.0,1.6302088620555971e-15,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.195540830592698e-36,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,230.42526308055537,,,,1.5365588422591358e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.5497987534404193e+154,,,,2.8084932703922414e-13,,6.265474351466691e-16,650804.8845885677,31231.322153511966,190351208.6708425,,2.1471835876335053e-10,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,16.854393076818386,3.20191375531487e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.05933171223919091,,5.253447072822172e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1.1441831566639912e+158,,,,19025582521.533997,,613418331402676.2,,,,4657263616.205911,,,4.491383947016945e+29,,11.581399756646078,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0863453486635881,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.2264852254819427e-30,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.7052947423484875e-19,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.864088917689537e+18,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.2107882016483208e-115,,
"$S_{x,z}$",,,1e+160,,8.259082791182125e+114,,,,4.665771543863946e-142,2.826369752266394e-115,,,,8.093522287642435e-113,,,2.0433769970988212e-76,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,1.6402677232831133e+67,829936737785785.0,,3.515839763784621e-13,,,,1.0092827629220488e+16,,,2503.196276415068,,2.1432682474887157e+141,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.3789247806453924e+58,,1.2049111148735652e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.9595213416055824e-59,6.096565736222794e-68,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,3.7900664963464554e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,2844270692597.0693,,26384.761348223812,9.459932399181602e+24,,4892.167463090442,,,3.1982865974963334e+21,,3.538107493536985e+114,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.0570900063583034e-25,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.084702916886901e+36,3.19652274939911e-31,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.4191907069336324e-42,9.219114141132778e-37,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,9.908026142295608e-17,0.00020440837472237466,,,7.046269364042308e+41,,3.128399446517258e+30,,4859.12474364628,,1.2355559970803397e+112,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.9194344984224518e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,0.0003994892487744276,3.1266741410316854e-22,,,,0.00020579837990526695,,,,475635.0970721767,4.8938595345831735e+75,34253208.98757485,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.1024520817652192e-06,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,3.6554404796085082e-134,,
"$S_{x,z}$",,,1e+160,,2.7356484275380636e+133,,,1.6917261149014475e-41,,8.068171162221629e-42,,,,,,,,2.2022890370103198e-40,,4.0211653033863305e-42,
"$S_{x,y,z}$",,,,,,,,1.5754039609298743e-156,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,6.347578302454915e+155,1e+160,,344024.00519187516,0.007753094396923264,,,,,,,,0.9014041941080011,5.911122321701913e+40,29854326108.08333,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,2.9067739021358766e-06,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,128.98075901111687,,,,322359225183.5763,,,,,,2.489660596387899e-25,1.239438256692416e+41,13.487926928214677,616592670.5007162
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.621816229485716e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.1021293075466432e-12,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.126591193321617,7.647060599583241e+55,,,,,,1.447741883012908e-08,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4.224078037166148e+47,0.14031954027854265,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.3673805057609224e-48,,1.3076920039766642e-56,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,3.349598300693985e-11,,0.07414037793370257,,,,,69073086.28240356,60577814333827.47,,3.4675179075414317e-22,2.4868413122879414e+41,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,1.650769363333709e-14,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,1.1093802386725813,,4.0166117480062974e+24,,,,,,,,,4.540730045850535e+39,2.883907240464775e+21,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.1804970418672911e-72,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8.471008096879397e+71,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,6.995267774931163e+73,,,,3.15742499930654e-151,,3.441099230499414e-137,,,2.3704692057617255e-126,,,,4.54444091291831e-127,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,1.4295378421161875e-74,,
"$S_{x,y,z}$",,,,,,,,,1.1331403758001185e-143,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1180208946754473e-144,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,8.825031932110731e+142,1e+160,15742689362.23614,,,1096338.7549437496,,,15155522.29421352,,,,211102.3564390244,3.1671377791067985e+150,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.944376663821584e+143,,6.352154812879805e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,9.121268362453423e-07,135238.86916880688,,15100766489519.72,,3.0532305474169974e-09,,,,1083.2204836163692,2.906048134667909e+136,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,7.3943238814854865e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.622180408484715e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.7834532973850825e-14,4.298473679153386e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,23264071729.68794,2.1840618973610335e-13,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,6.598254950156398e-08,,327521942.5686639,,26430879976532.17,,4578624814655.133,,,1.2804430740606674e-14,4.218574101571847e+125,147.07804802974033,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,6.193875642836067e-13,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,0.0067991111752978405,,,1614498026218.2297,7.853574530786662e-13,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,4.737038547880178e-06,,0.0009231730890662863,,,78097966263248.34,,,,,2.200490707574914e+126,1273305545239.1995,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.354720960488053e-33,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.0689789724607972e+32,,,1e-160,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,,,,,1e-160,,,7.540503519387912e-148,1.3686426571771731e-154,,,,,9.414957064469768e-129,2128.4354106696114,,
"$S_{x,z}$",,,,,0.0004698286802536316,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,5.053953263690897e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1e+160,1e+160,19786490848.34831,,,,5.8556818000954875e-06,3875552.898358208,,,,,1.1828640050457228e-09,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,72371315423.54099,1.6101905714315803e-17,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.3817629182883685e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.3261713855431942e+147,,,,170774.30675684824,6.210445010312816e+16,,,379066.1241707792,,,,,8.34269098611099e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.3883449076700024e-12,1.5154372247397146e+51,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,7.306509078582287e+153,,,,2.5802769984732444e-07,,,2.6380621644509546e-06,,3.359602789086516e+80,295129341094.0419,,3.7988057216395147e+30,10218.992667068893,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.9765423556869422e-81,,6.5987556836724526e-52,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.7947398096254803e-52,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,2.632406269959005e-31,,,3.578150626243839e+51,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.0621397348414972e+128,,,,845405723.5103251,,,1.1986540094374965e-17,9.785700338376203e-05,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
