ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,3842.5846820918628,,4909968.369580897,4.80072139013503e-06,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,10079068769930.906,2.0366729981304495e-07,,2.4909217174593036e-07,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,22028869487690.176,,,,1680199013735.5063,208302.02770252264,4014578.190036347,,,,,,,,,1.4601550750770233e-22,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.215564866275292e+16,,,,,,,,1.123824412133611e-44,4.666485573437042e-28,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,5.1210614895188255e+57,0.003464219976203356,,,,,,8.898187200805444e+43,,32327702905038.22,,1.026465075367658e-06,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,7.984901712922341e+46,,,,,,,2.142940301138577e+27,3.093322166865595e-14,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.4131672559669809e-25,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,119.39009062183916,5.232352692169752e-12,,,,,,974217.2666145717,,,,433.51683510676594,1.0085245786540774e+28,4.888699925358719e-34,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.0004322755509552636,,,,,,,,,,0.0023067154929605474,,2.878782251813688e+27,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,2.057477452343726e-23,,,,,,,,,,9.915474755553764e-29,3.473691000317863e-28,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,8.467753384763876e+26,,,,6.848587640235746e+21,,,,,2.0455336086651357e+33,,,,7.132414536682895e+30,6.501656410918516e+23,5.074019277005964e+58
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.4020497474689329e-31,,260.1201435278024,3660979188397143.0
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.5380695884215847e-24,0.003844377395913274,,8.465069065963654e+19
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,1.9708242034706493e-59,2.7315096550380063e-16,1.1813252700096677e-20,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,3.378973333250553e-10,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",2959478816.1231384,,,,,,2.962250531650543e-10,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,8.891072085914003e-72,,,,,,,2.821625721162994e-76,9.052166407927406e-69,1.0118035653951297e-50,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.124723756974466e+71,,,,,,,,5.169722999580205e-13,,,2.3290423832357388e+20,3.6943447992971444e-09,1.129326422074007e-27,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.2620524391479175e+34,,,,,,,,,,0.1333476457077481,,,,2.513296339358485e-23
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,4.4207640048198244e-35,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,3375811698.961221,,,,,,5.619819701381467e+28,5772340181685114.0,78.78010106478833,,,,,,,,,,3.131607716709794e-10
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,1.7794165171423193e-29,,7.621501775868464e-12,1.041937601110171e-25,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,1.732399630868725e-16,131207736927.4182,,5.472991724363942e-18,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,0.012693560765777712,9.597503717444433e+24,1.827154233667725e+17,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.544056153513615e+75,1934339615645.176,,,,,,,,1183381.6273015786,2.457352018102422e+21,,,8.08860598128475e-41,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.1047079283962933e+68,,,,,,,,8.450359350941277e-07,,5253167038808.04,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,9.883341334238922e+49,,,,,,,,4.0694210379032487e-22,1.903613558473296e-13,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,4.293610142940808e-21,,,,,,,,,,,1.794208556523982e-12,6.060045739996945e-54,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,270683992.5147896,,,,,,,,,,557348807842.8042,,7.608603705668848e-17,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,8.85483577160535e+26,7.499195015348483,,,,,,1.2363069759038572e+40,,,1.6501525613905749e+53,1.3143015968290508e+16,,,,,1.4250394724226562e-29
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,,6.488135326059676e+19,264103248.68407103,2.065034588984065e-20
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,1.541274880601654e-20,,794126213991.7582,4.0573287254314815e-30
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,3.786397952250231e-09,1.2592456745299916e-12,,9.523486481930545e-29
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,3.978838405721979e+22,,3193247975.0389824,,,,,,,,,7.017349479449418e+28,4.842533899114833e+19,2.4646758191712796e+29,1.0500356165752502e+28,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.7057401402596446e-12,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",586255770382.3408,,,,,,,,,,4.448209586372157e-07,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.3448071789082464e-64,,,3.3839100226263505e-53,6.835336333397086e-26,7.127328191306647e-45,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,7.436010274810023e+63,,,,36156855.89590584,,,,,,,20.55169701301676,1.3073690829381158e-05,3.2591802226641275e-08,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,1.477858967798322e+46,,,,,,,,,0.5377898965742482,,,2.160760147375685e-39,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,6.766545535057215e-47,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,2.955161317273652e+52,2.7657272050395107e-08,,,,1.2416601299934751e+32,18491022.469567586,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.462985800880132e+25,,,,8.053733673523486e-33,,2.7907382138565753e-21,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.403050306031538e+44,,,,5.408029770369886e-08,3.583281280325038e+20,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,,4.464720660360057e-15,5383130077.45153,0.43580800640351086,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,2248095.5103007494,,,,,,,,223978178271819.38,,1.8008006325388444e+20,1.2209674467838904e+16,,,,,1.6303405369271972e-18,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,1.8576552778999867e-10,5.553085566113768e-21,,1.2267296812363703e-09,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,2.2945884089015762,8.190226550544543e-17,815175515.2709285,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,0.04865778234111924,,,,,,,,,,,3.576386176550855e-17,111064.567130467,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,76489.49428669753,1.859462229339108,,,,,,,,,2.7961186254344096e+16,,709946879191.6415,,2.2166259351817223e-20,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,30682562.22979217,,,,,,,,,,9.003771642357413e-06,1.408556089631126e-12,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,2.606399992314386e-30,1.1642742716412384e-14,9.355312634476621e-10
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,4.628000943161291e+38,,,,,,6.133687885138164e+17,,,,4.51136109222695e+19,,3.836709649128096e+29,,5.119040046123557e+31,1.8528669067651853e+29
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,85890414686423.81,1.9534912620135875e-32,,13.579647654432982
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1068911365.2009392,5.3970417213929466e-30,0.07363961315104939,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,210064147217239.72,,,,,1.3586878311000126e-06,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",4.760450620666082e-15,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,4.572287035134105e-82,,,,,,,6.874704102489053e-55,1.7761264524944013e-41,2.6226002383652108e-58,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.1870892888304204e+81,,,,,,,,,,1.8833401606192752e+20,,,,,0.00010709186410774858,278.18332789584264,2.504703539281058e+19
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,5.4087140016437646e+51,,,,,6.979871179271778e-10,,,798853732609.4691,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,0.018248726652655867,20037863396690.566,1.2484519140768757,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",736004.2366688352,,,,,54.7983439630547,,1.598077319265517e+20,55.717820419921715,,,,,,8.479828356149455e-27,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,4.990552037425103e-14,6.257519507626854e-21,,6.44224163745151e-11,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,0.8009920035561924,0.0179475792926468,15522547216.896858,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.8488683256243345e-52,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.4546080603497398e+54,,,,,,,,,1052616868888571.9,1.7268317898156632e-09,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,5.630229754168656e+40,,,,,,,,9.500132760135903e-16,,1.5345082999263206e-26,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,3.8130096435259486e+57,5.309715264985283e-21,,,,,,,579095199.6006215,6.51674546203507e+25,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,2.903678344757598e-47,9.893104483780028e-17,9.915354224536977e-05,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,1432691197.7540705,,1.1792691526295031e+26,,,,,,,3.4439076277351275e+46,,6.1480686760517414e+29,3.3140151067958204e+30,1.984214563913431e+37,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,1.0108050527915912e+16,1.6265270488848783e-30,,23645.706218147818,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,10085.368382758888,3.017487753599462e-31,4.229097624635593e-05,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,9337.777508419013,1.251793612747459e-12,,,,,,,,,,5.039777543148951e-38,,,,5998758840419989.0,121624339516.27733
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.0035947517328372026,,,,,,,,,,,,,,1.6670115045498102e-16,,90321959045.54912
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,3.992488469461886e-20,,,,,,,,,,,,,,8.222038483227835e-12,1.1071504765476828e-11,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.111523045341499e-06,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",899666.4569314123,,,,,,,,,,,8.667661807362404e-07,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,7.605376480423259e-77,,1.3149699510997254e-42,3.55058533320996e-28,1.305797505803548e-54,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.3148593006198522e+76,,1.862176241772648e-13,,,5.070114387775924e+18,,,,,,6.038369345961023e+17,2785740066.3933964,16477939.456203517,1.1810686823471633e-32,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,5370060994055.413,,,,,3.570133424142906e+32,,,,,,,,1.0759350398530755e-32,,,
"$(\sigma_{x,x})^{\otimes4}$",,,7.604736512524015e+41,,,,7669551948687299.0,3.536350084583829e-14,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,2.816437027006854e+27,,,1.3038571310168353e-16,,3.273436899922691e-33,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,7.6581552312326585e+53,1.9723420883974647e-19,,28277743325225.215,3.0548931614463596e+32,,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.8010157638298165e-33,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,,1.6293027515412594e-17,5.343952283440212e-22,9.920437048769507e-13,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,6.137594741394977e+16,,3.62302620850358e-09,1009.8422385028209,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,1153713.6799114489,,,,,,,,1.8712741936315383e+21,276012356.0941698,,7.967077176953911e+17,,,,1.409724572182251e-17,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1008020105448.919,0.0009902536870339145,1.255165448745326e-18,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,1.6560762396372547e-18,,,,,,,,,,,0.0005203298627641594,9.15404428795267e-27,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,3.5897103684001153e-10,,,,,,,,,,1921.8577897637447,,5.518635715438554e-12,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,6.068719955294689e-08,,,,,,,,,,1.0924133296100243e+26,181204205452.89285,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,8.466908105739274e+31,9.294241408259696e+31,,,,,,,7.093584234344457e+16,,,,,,2.4166799419615298e+29,6.241465282725433e+35,3.7897497775950792e+37
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,4.137908304019509e-30,,9.422528085629513e-05,9389.527201686824
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.6021878752858086e-36,10612.863033277874,,376.1801274158641
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,2.638696638791244e-38,0.00010650163512177168,0.0026583009763684515,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,0.0017053522960577118,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",586.3891011327776,,,,,,,,,,,,1.148498631114472e-25,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,7.343371404889888e-78,,,9.043548130679937e-49,1.3008822397240781e-59,1.9466118520226434e-29,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.361772331621561e+77,,,,,80787337.49547116,,,,,,9.27594165018911e-20,3.393367137335127e-18,222.47076513869953,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.1909082192901e+17,,,,,,,,9.463856475552673e-15,,,,,,1.837678770288904e-48
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,4.564317168539451e-18,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.1057606876747116e+48,,,,,2.6838460843226982e-14,1.0685933719383461e+17,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,7.687090879279769e+58,1.237817745950668e-08,,,37259960839086.734,,2.8366744548038256e+28,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,5.137130953769451e+28,,,,9.358096599327366e-18,3.525254716157256e-29,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,,1.5398952433973368e-22,0.038775882496556516,1.3999244779097336e-42,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,6.493948236334486e+21,,3727201722.952865,7.98138450146659e-15,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,25.789226075997234,2.68297793983566e-10,,3.8518253782546324e-23,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,8.707019520168057e+24,,,,,,,,7.143242480431001e+41,125291545572857.53,2.596171689520171e+22,,,,,,,,7.171168314157215e-22
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,1.0780576654226936e+19,105665169646563.31,,,,,,,,,,20357603.091490395,1.9130700870635684e+16,,,,1.152559519353539e-28
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,2.946925456422373e+17,,,,,,,,,,4.912169647408079e-08,,7.673789542603021e+20,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.004494972628770119,,,,,,,,,,5.227200021379936e-17,1.3031371194743382e-21,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,1.07014073308085e-23,1.502447110126426e+21,1.432544123548445e-45
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,9.344565336944793e+22,,6.7712611058700775e+25,2.6358543085141602e-21
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,6.6558083360142585e-22,1.4768297727185405e-26,,3.195658480406473e-50
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,5.441647453122553e+47,,,,,,,,1.3944729173708204e+21,8.676341509555112e+27,,,6.9805877777989615e+44,3.793836392132399e+20,3.1292455252377425e+49,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,0.0009665677121773444,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",1034.5886660618366,,,,,,,,,,,,1.0122819539848816e-15,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,5.223862629572049e-54,,,1.319378521313828e-34,3.300965274668906e-48,7.539145792018976e-59,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.9142922984594682e+53,,,,,,4.460928038156172e-10,,,,,409442730.9971155,1.4252918010649074e-24,27982.880006749383,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,1763738258783426.5,,,,,,,,,9.470880558006205e-07,,3.141531144873454e-42,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,5.669775518107601e-16,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,7.579326052725239e+33,,,,,8.612145130504168e-14,7.54915118704724e-28,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,3.029416903212659e+47,,,,11611508919630.322,,1.003121980218319e-10,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.326410216205941e+58,2241686015.659935,,,1.3246522360232898e+27,9968877362.076748,,,,,,,2.08163756943241e-22,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,,43919.90379516331,6.025946492849804,5.4962925693250866e-14,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,2.2768720183538408e-05,,2.876815294890225e-11,1.6502305404563925e-08,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,0.1659490340955679,34760660574.07966,,1.738232419405266e-05,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,987867062198893.1,,,,,,,,18194082418047.01,60597593.820039056,57529.70597235488,,,,,1.5824769880516965e-26,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,2.442344006363725e-09,,,,,,,,,,,3.3392494800539185e-25,1.462883881232259e-06,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,7.016107152604467e+23,1055868.0303012063,,,,4.803910222818784e+21,,,,,2.994684901422379e+24,,1.4700963790742343e+20,2.2260289054203316e-29,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,3.573613580013219e-05,,,,,,,,,,683581.2553745898,6.80227510409713e-21,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,3.1831611844175482e+41,,,,,,,,6.31920721470442e+25,,4.492304648717822e+28,,,1.1636873493148156e+43,1.312858844607058e+28,1.7631090718913922e+41
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,8.593373474316831e-44,,242.10137330755612,0.5715832145040921
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,7.616965099544289e-29,0.0041305011464335606,,6.145636696784746e-05
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,5.671798846382433e-42,1.7495265337132127,16271.707055563125,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,10305956274.919376,,,,,,,,,,,2.029512042079626e-10,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",9.703126748495962e-11,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.3674894553250256e-89,,,4.175949319280806e-77,2.6376243003370565e-59,4.84587804958263e-67,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,4.2238836491996665e+88,,,,34919312164179.11,,,,,,,72369703343.78777,0.003073477284218086,0.005316724408011841,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,2.634697709976902e+43,,,,,,,,,,10802645.057504617,3.0669145863091336e-33,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,3.795501837699501e-44,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,2.394665077430161e+76,2.8637448392406163e-14,,,,15386097598219.846,743709242380887.8,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,3.791290518032504e+58,,,,6.499373825080239e-14,,2.1636919436143737e-05,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,2.063609504341796e+66,,,,1.344611500051594e-15,46217.300154546676,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,,414995110.83346564,2.681847834291376e-11,2.3027824158881354e-15,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,2.409666942802351e-09,,1.80411830274205e-14,8.312102294712305e-22,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,37287723308.29239,55428737598865.68,,1.737216036594583e-08,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",4927292764.300661,,,,,,,,,434257267686456.94,1.203065078537525e+21,57563364.54044441,,,,,3.325676231485239e-20,,,
