ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
$S_{x}$,,9.591490109629204e-130,2.9445659922492784e-117,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0425908681238882e+129,,7.074474960244741e-06,,,,,,,,,,,,,,,,,,
$S_{z}$,3.396086223342292e+116,141353.24608815988,,,3.3552228403648903e-44,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.980427970296146e+43,7.820438901000183e+35,,,,,1.0159866870235332e-95,,,1e-160,,,1e-160,,,6.7345744603485e-142,,,
"$S_{y,z}$",,,,,1.2787006108725005e-36,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,4.76922059808173e-51,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2709590479259.639,,0.7614372780446941,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,9.842648656446785e+94,2.0967786652649676e+50,7.530022483760588e+18,1.3133058084152573,,,,3.1948310688058555e-74,,,9.454995913471205e-50,,,5.915200133083822e-38,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,3.6905946033337006e-13,1.3280172830248807e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,8890053.653248955,2.008512776021059e-35,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.124852603824883e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,3.130055951201745e+73,4.978808260214498e+34,,,,,77953.81951513382,,,797906311.7839277,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1e+160,,,,1.0576419166667528e+49,,,1.2828107797923382e-05,427649157385.61,3.7399997947271794e+40,,,,3696017208758068.5,7369067443935.268,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.9798178546604354e+26,2.3383654164394925e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.0509697023189694e-27,,2.673796938197283e-41,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.038668181268851e-05,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.3570238128611491e-13,,96277.13816922615,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.4848748141218889e+141,,,,1.6905598754080727e+37,,,1.2532799718857207e-09,,,2.705615108150481e-16,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.1993769595340264e-23,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8.337662250811564e+22,,,2.650822611379944e-32,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,2.9646751192841523e-60,,,,,,,,,,,,,,,,
